[2016-03-13 21:27:02.186] log4j - 17604  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 17604 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 21:27:11.093] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/images/**'], []
[2016-03-13 21:27:11.094] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/**/favicon.ico'], []
[2016-03-13 21:27:11.094] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/error'], []
[2016-03-13 21:27:11.287] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6343d49e, org.springframework.security.web.context.SecurityContextPersistenceFilter@1de0f7d0, org.springframework.security.web.header.HeaderWriterFilter@7fbc2438, org.springframework.security.web.csrf.CsrfFilter@694399b7, org.springframework.security.web.authentication.logout.LogoutFilter@27fd77d9, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@64efa3c8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4095d7b5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76f03ad2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@42189150, org.springframework.security.web.session.SessionManagementFilter@1efbf353, org.springframework.security.web.access.ExceptionTranslationFilter@7027a25f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4ba6f9e6]
[2016-03-13 21:27:11.316] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@70e9d2d3, org.springframework.security.web.context.SecurityContextPersistenceFilter@763d9ebd, org.springframework.security.web.header.HeaderWriterFilter@2d0b336e, org.springframework.security.web.authentication.logout.LogoutFilter@69afa8b7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@737d1b49, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@29783b52, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d1cfd50, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6ea28348, org.springframework.security.web.session.SessionManagementFilter@6d0b319d, org.springframework.security.web.access.ExceptionTranslationFilter@6856e989, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@dcb285a]
[2016-03-13 21:27:11.436] log4j - 17604  INFO [restartedMain] --- VersionPrinter: Flyway 3.2.1 by Boxfuse
[2016-03-13 21:27:11.469] log4j - 17604  WARN [restartedMain] --- ConnectionPool: maxIdle is larger than maxActive, setting maxIdle to: 50
[2016-03-13 21:27:12.333] log4j - 17604  INFO [restartedMain] --- DbSupportFactory: Database: jdbc:mysql://localhost/blog?useUnicode=true&characterEncoding=utf-8&useSSL=false (MySQL 5.6)
[2016-03-13 21:27:12.464] log4j - 17604  INFO [restartedMain] --- DbValidate: Validated 1 migration (execution time 00:00.093s)
[2016-03-13 21:27:12.521] log4j - 17604  INFO [restartedMain] --- DbMigrate: Current version of schema `blog`: 1
[2016-03-13 21:27:12.522] log4j - 17604  INFO [restartedMain] --- DbMigrate: Schema `blog` is up to date. No migration necessary.
[2016-03-13 21:27:12.787] log4j - 17604  INFO [restartedMain] --- LocalContainerEntityManagerFactoryBean: Building JPA container EntityManagerFactory for persistence unit 'default'
[2016-03-13 21:27:12.838] log4j - 17604  INFO [restartedMain] --- LogHelper: HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2016-03-13 21:27:13.150] log4j - 17604  INFO [restartedMain] --- Version: HHH000412: Hibernate Core {4.3.11.Final}
[2016-03-13 21:27:13.162] log4j - 17604  INFO [restartedMain] --- Environment: HHH000206: hibernate.properties not found
[2016-03-13 21:27:13.176] log4j - 17604  INFO [restartedMain] --- Environment: HHH000021: Bytecode provider name : javassist
[2016-03-13 21:27:13.883] log4j - 17604  INFO [restartedMain] --- Version: HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
[2016-03-13 21:27:14.048] log4j - 17604  INFO [restartedMain] --- Dialect: HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2016-03-13 21:27:14.446] log4j - 17604  INFO [restartedMain] --- ASTQueryTranslatorFactory: HHH000397: Using ASTQueryTranslatorFactory
[2016-03-13 21:27:15.263] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000228: Running hbm2ddl schema update
[2016-03-13 21:27:15.264] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000102: Fetching database metadata
[2016-03-13 21:27:15.267] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000396: Updating schema
[2016-03-13 21:27:15.324] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.archives
[2016-03-13 21:27:15.324] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [times, id]
[2016-03-13 21:27:15.324] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 21:27:15.325] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 21:27:15.359] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.authorities
[2016-03-13 21:27:15.359] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [authority, username]
[2016-03-13 21:27:15.359] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [authorities_ibfk_1]
[2016-03-13 21:27:15.359] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [username]
[2016-03-13 21:27:15.391] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content
[2016-03-13 21:27:15.391] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_content, id, blog_simple_content_id]
[2016-03-13 21:27:15.391] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_content_ibfk_1]
[2016-03-13 21:27:15.391] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_simple_content_id, primary]
[2016-03-13 21:27:15.418] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_content_type
[2016-03-13 21:27:15.418] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [type_name, id]
[2016-03-13 21:27:15.419] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 21:27:15.419] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [type_name, primary]
[2016-03-13 21:27:15.450] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.blog_simple_content
[2016-03-13 21:27:15.450] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [blog_type_id, blog_user, archives_id, blog_create_time, id, blog_title]
[2016-03-13 21:27:15.450] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [blog_simple_content_ibfk_1, blog_simple_content_ibfk_2, blog_simple_content_ibfk_3]
[2016-03-13 21:27:15.450] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [blog_type_id, blog_user, archives_id, primary]
[2016-03-13 21:27:15.477] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.contact
[2016-03-13 21:27:15.477] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [subject, id, contact_username, message, email]
[2016-03-13 21:27:15.477] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 21:27:15.477] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 21:27:15.504] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.users
[2016-03-13 21:27:15.505] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [password, code, is_pass, enabled, username]
[2016-03-13 21:27:15.505] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 21:27:15.505] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 21:27:15.506] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000232: Schema update complete
[2016-03-13 21:27:15.772] log4j - 17604  INFO [restartedMain] --- ScriptUtils: Executing SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql]
[2016-03-13 21:27:15.793] log4j - 17604  INFO [restartedMain] --- ScriptUtils: Executed SQL script from URL [file:/D:/Documents/OneDrive/Documents/project/IntellijPro/blog/target/classes/data.sql] in 19 ms.
[2016-03-13 21:27:16.844] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerAdapter: Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@48a5633a: startup date [Sun Mar 13 21:27:02 CST 2016]; root of context hierarchy
[2016-03-13 21:27:16.988] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/search]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.search(java.lang.String,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.990] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/articleDatas]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.articleDatas(int,int,int)
[2016-03-13 21:27:16.990] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/article]}" onto public java.lang.String com.zbeboy.blog.web.BlogController.singleArticle(int,org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.990] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/saveArticle],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.BlogController.saveArtitcle(java.lang.String)
[2016-03-13 21:27:16.991] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/saveContact]}" onto public java.lang.String com.zbeboy.blog.web.ContactController.contact(com.zbeboy.blog.domain.entity.ContactEntity,javax.servlet.http.HttpServletRequest,org.springframework.ui.ModelMap)
[2016-03-13 21:27:16.996] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/]}" onto public java.lang.String com.zbeboy.blog.web.MainController.home(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.996] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/contact]}" onto public java.lang.String com.zbeboy.blog.web.MainController.contact(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.996] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/full]}" onto public java.lang.String com.zbeboy.blog.web.MainController.blog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.997] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/about]}" onto public java.lang.String com.zbeboy.blog.web.MainController.about(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.997] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.login(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.997] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/startCaptcha],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.startCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.997] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/loginError],methods=[GET]}" onto public java.lang.String com.zbeboy.blog.web.MainController.loginError(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.998] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/verifyCaptcha],methods=[POST]}" onto public com.zbeboy.blog.data.AjaxData com.zbeboy.blog.web.MainController.verifyCaptcha(javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.998] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/regist]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.regist(com.zbeboy.blog.vo.RegistVo,org.springframework.validation.BindingResult)
[2016-03-13 21:27:16.999] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/user/sendBlog]}" onto public java.lang.String com.zbeboy.blog.web.MainController.sendBlog(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:16.999] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/checkEmail]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.zbeboy.blog.web.MainController.checkEmail(java.lang.String)
[2016-03-13 21:27:17.003] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
[2016-03-13 21:27:17.003] log4j - 17604  INFO [restartedMain] --- RequestMappingHandlerMapping: Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2016-03-13 21:27:17.055] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 21:27:17.055] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 21:27:17.211] log4j - 17604  INFO [restartedMain] --- SimpleUrlHandlerMapping: Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
[2016-03-13 21:27:17.981] log4j - 17604  INFO [restartedMain] --- VelocityConfigurer: ClasspathResourceLoader with name 'springMacro' added to configured VelocityEngine
[2016-03-13 21:27:18.547] log4j - 17604  INFO [restartedMain] --- OptionalLiveReloadServer: LiveReload server is running on port 35729
[2016-03-13 21:27:18.746] log4j - 17604  INFO [restartedMain] --- AnnotationMBeanExporter: Registering beans for JMX exposure on startup
[2016-03-13 21:27:19.026] log4j - 17604  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat started on port(s): 8080 (http)
[2016-03-13 21:27:19.038] log4j - 17604  INFO [restartedMain] --- Application: Started Application in 17.432 seconds (JVM running for 18.321)
[2016-03-13 21:27:36.776] log4j - 17604  INFO [http-nio-8080-exec-1] --- [/]: Initializing Spring FrameworkServlet 'dispatcherServlet'
[2016-03-13 21:27:36.777] log4j - 17604  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization started
[2016-03-13 21:27:36.812] log4j - 17604  INFO [http-nio-8080-exec-1] --- DispatcherServlet: FrameworkServlet 'dispatcherServlet': initialization completed in 35 ms
[2016-03-13 21:28:45.614] log4j - 17604  INFO [http-nio-8080-exec-7] --- MainController: 1
[2016-03-13 22:03:13.552] log4j - 17604  INFO [Thread-9] --- AnnotationConfigEmbeddedWebApplicationContext: Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@48a5633a: startup date [Sun Mar 13 21:27:02 CST 2016]; root of context hierarchy
[2016-03-13 22:03:13.591] log4j - 17604  INFO [Thread-9] --- AnnotationMBeanExporter: Unregistering JMX-exposed beans on shutdown
[2016-03-13 22:03:13.599] log4j - 17604  INFO [Thread-9] --- LocalContainerEntityManagerFactoryBean: Closing JPA EntityManagerFactory for persistence unit 'default'
[2016-03-13 22:03:14.682] log4j - 17604  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 17604 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 22:03:14.683] log4j - 17604  INFO [restartedMain] --- Application: No active profile set, falling back to default profiles: default
[2016-03-13 22:03:14.687] log4j - 17604  INFO [restartedMain] --- AnnotationConfigEmbeddedWebApplicationContext: Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1792bb4a: startup date [Sun Mar 13 22:03:14 CST 2016]; root of context hierarchy
[2016-03-13 22:03:19.616] log4j - 17604  INFO [restartedMain] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$361f3cc3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2016-03-13 22:03:19.770] log4j - 17604  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat initialized with port(s): 8080 (http)
[2016-03-13 22:03:19.770] log4j - 17604  INFO [restartedMain] --- StandardService: Starting service Tomcat
[2016-03-13 22:03:19.771] log4j - 17604  INFO [restartedMain] --- StandardEngine: Starting Servlet Engine: Apache Tomcat/8.0.30
[2016-03-13 22:03:19.852] log4j - 17604  INFO [localhost-startStop-1] --- [/]: Initializing Spring embedded WebApplicationContext
[2016-03-13 22:03:19.853] log4j - 17604  INFO [localhost-startStop-1] --- ContextLoader: Root WebApplicationContext: initialization completed in 5166 ms
[2016-03-13 22:03:20.200] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'characterEncodingFilter' to: [/*]
[2016-03-13 22:03:20.201] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
[2016-03-13 22:03:20.201] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'httpPutFormContentFilter' to: [/*]
[2016-03-13 22:03:20.201] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'requestContextFilter' to: [/*]
[2016-03-13 22:03:20.202] log4j - 17604  INFO [localhost-startStop-1] --- DelegatingFilterProxyRegistrationBean: Mapping filter: 'springSecurityFilterChain' to: [/*]
[2016-03-13 22:03:20.202] log4j - 17604  INFO [localhost-startStop-1] --- ServletRegistrationBean: Mapping servlet: 'dispatcherServlet' to [/]
[2016-03-13 22:03:20.926] log4j - 17604  INFO [localhost-startStop-1] --- AuthenticationManagerConfiguration: 

Using default security password: 529cb4de-9e5e-408b-9590-f759c2af660f

[2016-03-13 22:03:20.931] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/css/**'], []
[2016-03-13 22:03:20.932] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/js/**'], []
[2016-03-13 22:03:20.933] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/images/**'], []
[2016-03-13 22:03:20.933] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/**/favicon.ico'], []
[2016-03-13 22:03:20.933] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/error'], []
[2016-03-13 22:03:20.960] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@653ee9b6, org.springframework.security.web.context.SecurityContextPersistenceFilter@1e894fb3, org.springframework.security.web.header.HeaderWriterFilter@b575274, org.springframework.security.web.csrf.CsrfFilter@52bc46b, org.springframework.security.web.authentication.logout.LogoutFilter@7942eca8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@33aace32, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5be1b254, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6a148fae, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@61fc5d8f, org.springframework.security.web.session.SessionManagementFilter@455ad3ef, org.springframework.security.web.access.ExceptionTranslationFilter@72f6eb75, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@27c30d87]
[2016-03-13 22:03:20.968] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@656259b9, org.springframework.security.web.context.SecurityContextPersistenceFilter@5239708b, org.springframework.security.web.header.HeaderWriterFilter@9ba2f0d, org.springframework.security.web.authentication.logout.LogoutFilter@7e568460, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@67f21e09, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d3c7232, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6526f0df, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11734237, org.springframework.security.web.session.SessionManagementFilter@21f74398, org.springframework.security.web.access.ExceptionTranslationFilter@3b7a920c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56b95e2c]
[2016-03-13 22:03:21.040] log4j - 17604  WARN [restartedMain] --- ConnectionPool: maxIdle is larger than maxActive, setting maxIdle to: 50
[2016-03-13 22:03:21.220] log4j - 17604  INFO [restartedMain] --- DbSupportFactory: Database: jdbc:mysql://localhost/blog?useUnicode=true&characterEncoding=utf-8&useSSL=false (MySQL 5.6)
[2016-03-13 22:03:21.275] log4j - 17604  INFO [restartedMain] --- DbValidate: Validated 1 migration (execution time 00:00.052s)
[2016-03-13 22:03:21.299] log4j - 17604  INFO [restartedMain] --- DbMigrate: Current version of schema `blog`: 1
[2016-03-13 22:03:21.300] log4j - 17604  INFO [restartedMain] --- DbMigrate: Schema `blog` is up to date. No migration necessary.
[2016-03-13 22:03:21.350] log4j - 17604  INFO [restartedMain] --- LocalContainerEntityManagerFactoryBean: Building JPA container EntityManagerFactory for persistence unit 'default'
[2016-03-13 22:03:21.350] log4j - 17604  INFO [restartedMain] --- LogHelper: HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
[2016-03-13 22:03:21.444] log4j - 17604  INFO [restartedMain] --- Dialect: HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2016-03-13 22:03:21.502] log4j - 17604  INFO [restartedMain] --- ASTQueryTranslatorFactory: HHH000397: Using ASTQueryTranslatorFactory
[2016-03-13 22:03:21.590] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000228: Running hbm2ddl schema update
[2016-03-13 22:03:21.590] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000102: Fetching database metadata
[2016-03-13 22:03:21.591] log4j - 17604  INFO [restartedMain] --- SchemaUpdate: HHH000396: Updating schema
[2016-03-13 22:03:21.636] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.archives
[2016-03-13 22:03:21.636] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [times, id]
[2016-03-13 22:03:21.637] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: []
[2016-03-13 22:03:21.637] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000126: Indexes: [primary]
[2016-03-13 22:03:21.680] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000261: Table found: blog.authorities
[2016-03-13 22:03:21.680] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000037: Columns: [authority, username]
[2016-03-13 22:03:21.681] log4j - 17604  INFO [restartedMain] --- TableMetadata: HHH000108: Foreign keys: [authorities_ibfk_1]
